ID,곡,아티스트,예상 난이도,장르,분위기 유형,핵심 테크닉 태그,설명 feature,상태
S0011,Another One Bites the Dust,Queen,Lv.2,Disco Rock;Funk Pop,그루브/펑키,8비트;옥타브;뮤트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.2(초중급) — 핵심: 8비트, 옥타브, 뮤트. ‘쉼표’가 그루브를 만든다는 걸 체감하기 좋은 곡. 뮤트로 음 길이 통제. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0012,Feel Good Inc.,Gorillaz,Lv.2,Hip-hop;Electronic,그루브/펑키,리프반복;타이트한8비트;뮤트;포지션이동;싱코페이션,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 리프는 단순하지만 타이밍이 전부. 루프가 흔들리면 곡이 무너짐. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0013,위잉위잉,혁오,Lv.2,Korea;Indie Rock,그루브/펑키,리프반복;타이트한8비트;뮤트;포지션이동;싱코페이션,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 리듬이 말리는 느낌이 매력. 박을 너무 앞당기지 말고 여유 있게. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0014,Reptilia,The Strokes,Lv.2,Indie Rock;Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.2(초중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 빠른 템포에서 ‘무너지지 않는’ 오른손 교대가 중요. 뮤트도 함께. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0015,외톨이야 (I'm a Loner),CNBLUE,Lv.2,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.2(초중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 기타가 바쁜 곡. 베이스는 ‘드럼과’ 달려야 함. 템포 유지 훈련. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0016,Congratulations,DAY6,Lv.2,Korea;Pop Rock,신나는/질주,리프반복;타이트한8비트;뮤트;포지션이동,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 스트로크가 강한 밴드 사운드. 베이스는 안정적으로 루트를 밀어주는 게 포인트. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0017,낭만고양이,체리필터,Lv.2,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.2(초중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 단순하지만 템포가 빠르면 급상승. 오른손 고정 + 힘 빼기. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0018,말 달리자,크라잉넛,Lv.2,Korea;Punk Rock,신나는/질주,빠른템포;지구력;다운피킹/피킹;타이트한8비트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.2(초중급) — 핵심: 빠른템포, 지구력, 다운피킹/피킹. 펑크 기본기: 빠른 8비트를 끝까지 유지. 다운피킹/핑거 어느 쪽이든 체력. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0019,나는 나비,YB,Lv.2,Korea;Rock,신나는/질주,리프반복;타이트한8비트;뮤트;포지션이동,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 합주곡으로 자주 선택. 후렴에서 베이스가 ‘밀어주는 힘’을 만드는 게 포인트. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0020,Psycho Killer,Talking Heads,Lv.2,New Wave;Rock,신나는/질주,리프반복;타이트한8비트;뮤트;포지션이동,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 타이트한 8비트 + 반복 리프. 어택을 너무 세게 치지 말고 일정하게. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0021,Under Pressure,Queen & David Bowie,Lv.2,Pop Rock;Rock,신나는/질주,리프반복;타이트한8비트;뮤트;포지션이동;해머온/풀오프,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 유명 리프지만 정확한 박/쉼표가 관건. 해머온을 너무 크게 치지 않기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0022,Santeria,Sublime,Lv.2,Reggae Rock;Reggae,여유/레게,오프비트;롱톤;포켓;뮤트,"뒤로 눕는(laid-back) 레게 포켓. 빈 공간을 살리고 1박의 무게를 유지하는 게 포인트. 난이도 Lv.2(초중급) — 핵심: 오프비트, 롱톤, 포켓. 레게 락 포켓을 쉽게 익힐 수 있음. 루트 중심이라 ‘톤’에 집중하기 좋음. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0023,Come As You Are,Nirvana,Lv.2,Alt Rock;Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 코러스/버스 톤 차이를 베이스 다이내믹으로 표현해보면 합주가 살아남. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0024,난춘 (NAN CHUN),새소년,Lv.2,Korea;Indie Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 톤과 다이내믹이 분위기 절반. 노이즈 정리(뮤트)까지 신경 쓰면 완성도 상승. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0025,Zombie,DAY6,Lv.2,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동;다이내믹,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 곡이 커질수록 베이스도 ‘커지되’ 박은 더 정확해져야 함. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0026,예뻤어,DAY6,Lv.2,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 입문 합주곡으로 자주 등장. 드럼과 ‘같이 호흡’하는 8비트가 핵심. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0027,사랑앓이,FTISLAND,Lv.2,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 발라드/록 사이. 롱톤과 프레이즈 끝 음 길이 정리가 중요. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0028,가시,버즈,Lv.2,Korea;Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 발라드 록의 기본: 코드 진행에서 베이스가 흔들리지 않게, 톤·음길이 균일하게. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0029,Roxanne,The Police,Lv.2,New Wave;Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동;싱코페이션,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 레게/록 사이 포켓을 배우기 좋음. 1박 무게와 쉼표 정리. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0030,옥탑방 (Rooftop),N.Flying,Lv.2,Korea;Pop Rock,흥겨운/댄서블,리프반복;타이트한8비트;뮤트;포지션이동;싱코페이션,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.2(초중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 멜로디가 강한 곡이라 베이스가 흔들리면 바로 티. 포켓 먼저 잡기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0031,"Ready, Get Set, Go!",페퍼톤스,Lv.2,Korea;Pop Rock,흥겨운/댄서블,빠른템포;지구력;타이트한8비트;뮤트,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.2(초중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 밝은 팝록에서 템포 유지와 음정 정확도 연습에 좋음. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0032,Tomboy,혁오,Lv.3,Korea;Indie Rock,그루브/펑키,리프반복;타이트한8비트;뮤트;포지션이동;싱코페이션,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 리듬이 말리는 느낌이 매력. 베이스가 앞서면 무드가 깨져서 ‘뒤로’ 눕히기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0033,Ocean of Light,넬,Lv.3,Korea;Indie Rock,몽환/신스,8비트;옥타브;16비트;포켓,"신스/공간감 위에 베이스가 넓게 깔리는 타입. 서스테인과 노트 선택이 중요. 난이도 Lv.3(중급) — 핵심: 8비트, 옥타브, 16비트. 톤과 뉘앙스가 핵심. 강약을 과하게 주지 말고 ‘일정한 흐름’ 만들기. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0034,Stay,넬,Lv.3,Korea;Indie Rock,몽환/신스,8비트;옥타브;16비트;포켓,"신스/공간감 위에 베이스가 넓게 깔리는 타입. 서스테인과 노트 선택이 중요. 난이도 Lv.3(중급) — 핵심: 8비트, 옥타브, 16비트. 공간감 위에 베이스가 깔림. 노트 길이/서스테인 일정하게 유지. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0035,파도,새소년,Lv.3,Korea;Indie Rock,몽환/신스,8비트;옥타브;16비트;포켓,"신스/공간감 위에 베이스가 넓게 깔리는 타입. 서스테인과 노트 선택이 중요. 난이도 Lv.3(중급) — 핵심: 8비트, 옥타브, 16비트. 서서히 몰아치는 전개. 베이스는 서스테인/톤으로 공간을 채우는 감각이 중요. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0036,Tik Tak Tok,실리카겔,Lv.3,Korea;Indie Rock,몽환/신스,8비트;옥타브;16비트;포켓;싱코페이션,"신스/공간감 위에 베이스가 넓게 깔리는 타입. 서스테인과 노트 선택이 중요. 난이도 Lv.3(중급) — 핵심: 8비트, 옥타브, 16비트. 신스/록 혼합 무드. 반복 패턴을 미세한 액센트로 살리는 연습. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0037,매직 카펫 라이드,자우림,Lv.3,Korea;Indie Rock,몽환/신스,8비트;옥타브;16비트;포켓,"신스/공간감 위에 베이스가 넓게 깔리는 타입. 서스테인과 노트 선택이 중요. 난이도 Lv.3(중급) — 핵심: 8비트, 옥타브, 16비트. 몽환적인 전개에 베이스가 중심축. 음 길이와 뮤트로 공간을 조절. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0038,Gondry,혁오,Lv.3,Korea;Indie Rock,몽환/신스,8비트;옥타브;16비트;포켓,"신스/공간감 위에 베이스가 넓게 깔리는 타입. 서스테인과 노트 선택이 중요. 난이도 Lv.3(중급) — 핵심: 8비트, 옥타브, 16비트. 공간감과 반복 리프가 핵심. 일정한 톤/서스테인 유지가 곡의 분위기. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0039,PRAY,FTISLAND,Lv.3,Korea;Rock,부수는/헤비,빠른템포;지구력;타이트한8비트;뮤트,"헤비하고 공격적인 사운드. 뮤트/저음 정리 + 다운비트 정확도가 곡을 살림. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 록에서 드라이브가 강한 곡. 저역이 뭉개지지 않게 뮤트/어택을 정리. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0040,일탈,자우림,Lv.3,Korea;Rock,부수는/헤비,리프반복;타이트한8비트;뮤트;포지션이동;싱코페이션,"헤비하고 공격적인 사운드. 뮤트/저음 정리 + 다운비트 정확도가 곡을 살림. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 록 그루브가 살아야 함. 박자 ‘앞/뒤’ 미세 조절로 느낌 만들기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0041,Pulse,국카스텐,Lv.3,Korea;Alt Rock,서사/프로그,변박;카운팅;리프전환;포지션이동,"파트 전환이 많고 전개가 큰 곡. 폼 암기 + 카운팅 능력이 필수. 난이도 Lv.3(중급) — 핵심: 변박, 카운팅, 리프전환. 전개가 있는 곡. 파트 전환 시 베이스 패턴이 바뀌는 지점을 확실히 암기. 메트로놈으로 소절 단위(예: 7/8, 5/4)를 ‘말로 카운트’하면서 리듬을 쪼개서 연습.",추천
S0042,Stranger,국카스텐,Lv.3,Korea;Alt Rock,서사/프로그,변박;카운팅;리프전환;포지션이동,"파트 전환이 많고 전개가 큰 곡. 폼 암기 + 카운팅 능력이 필수. 난이도 Lv.3(중급) — 핵심: 변박, 카운팅, 리프전환. 리듬이 흔들리면 전체가 불안해짐. 소절 단위로 끊어 연습하면 빨리 잡힘. 메트로놈으로 소절 단위(예: 7/8, 5/4)를 ‘말로 카운트’하면서 리듬을 쪼개서 연습.",추천
S0043,흰수염고래,YB,Lv.3,Korea;Rock,서사/프로그,리프반복;타이트한8비트;뮤트;포지션이동;다이내믹,"파트 전환이 많고 전개가 큰 곡. 폼 암기 + 카운팅 능력이 필수. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 전개가 크고 감정선이 큰 곡. 섹션별 다이내믹 차이를 베이스로 표현. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0044,Never Ending Story,부활,Lv.3,Korea;Rock,서사/프로그,리프반복;타이트한8비트;뮤트;포지션이동;다이내믹,"파트 전환이 많고 전개가 큰 곡. 폼 암기 + 카운팅 능력이 필수. 난이도 Lv.3(중급) — 핵심: 리프반복, 타이트한8비트, 뮤트. 서사형 록발라드. 코드 진행을 안정적으로 받치면서 빌드 구간을 만들기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0045,リライト (Rewrite),ASIAN KUNG-FU GENERATION,Lv.3,Japan;Indie Rock,신나는/질주,8비트;리프반복;뮤트;포켓,J-록 펑크 느낌의 질주곡. 라인은 단순해도 ‘뮤트/어택 균일’이 안 되면 산만해진다. 드럼 킥과 베이스가 한 몸처럼 붙어야 곡이 제대로 달린다.,추천
S0046,前前前世 (Zenzenzense),RADWIMPS,Lv.3,Japan;Pop Rock,신나는/질주,8비트;싱코페이션;포지션이동;지구력,빠르게 달리면서도 싱코가 섞여 중급자에게 딱 좋다. 코러스에서 박이 흔들리기 쉬우니 2·4 백비트를 강하게 느끼기. ‘끝까지 일정한 어택’이 핵심 연습 포인트.,추천
S0047,The Beginning,ONE OK ROCK,Lv.3,Japan;Rock,신나는/질주,8비트;리프반복;포지션이동;지구력,록 기본기(타이트한 8비트)로 끝까지 밀어붙이는 곡. 포지션 이동이 있어 왼손 안정이 중요. 난이도는 중급이지만 밴드 합주에서 ‘박이 흔들리지 않는’ 훈련에 좋다.,추천
S0048,Desert Eagle,실리카겔,Lv.3,Korea;Indie Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 드라이브가 강하고 전개가 빠름. ‘폼’ 암기와 파트 전환 체크가 중요. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0049,NO PAIN,실리카겔,Lv.3,Korea;Indie Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 템포/리듬이 촘촘한 인디록. 오른손 지구력 + 뮤트로 저역 정리. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0050,시퍼런 봄,쏜애플,Lv.3,Korea;Indie Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 드라이브가 강한 인디록. 템포 유지 + 포지션 이동 정확도. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0051,I Wait,DAY6,Lv.3,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 브릿지/후렴에서 에너지 유지가 핵심. 포지션 이동 시 노이즈 뮤트까지. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0052,I Wish,FTISLAND,Lv.3,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 리프가 바쁜 팝록. 포지션 이동을 최소화하는 핑거링 설계가 중요. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0053,Moonshot,N.Flying,Lv.3,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트;싱코페이션,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 후렴에서 드라이브가 강함. 8비트가 흔들리면 곡이 ‘늘어짐’—클릭 고정. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0054,Red,The Rose,Lv.3,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 템포가 빠르고 에너지가 강함. 8비트를 기계처럼 유지하는 게 핵심. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0055,오리날다,체리필터,Lv.3,Korea;Pop Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 빠른 템포 + 직진 8비트. 체력과 ‘끝까지 같은 어택’ 유지가 핵심. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0056,청춘 98,노브레인,Lv.3,Korea;Punk Rock,신나는/질주,빠른템포;지구력;다운피킹/피킹;타이트한8비트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 다운피킹/피킹. 펑크 기본기 + 지구력. 템포가 밀리면 곡이 힘이 빠져서 클릭 고정. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
S0057,The Real,N.Flying,Lv.3,Korea;Rock,신나는/질주,빠른템포;지구력;타이트한8비트;뮤트,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.3(중급) — 핵심: 빠른템포, 지구력, 타이트한8비트. 락 사운드에서 베이스가 밑에서 밀어주는 곡. 리프 반복 구간 지구력 체크. 힘 빼고(특히 오른손), 동일 패턴을 2~3분 유지하는 체력/안정성 훈련.",추천
