achievement_id,group_id,name,tier,tier_name,category,rarity,rule_type,rule_filter,target,display_order,xp_reward,description,evidence_hint,is_hidden,hint,auto_grant,ui_badge_style,icon_path,icon_url
ACH_TIER_LONG_FOCUS_T5,ACH_TIER_LONG_FOCUS,롱폼 집중 5,5,Diamond,집중,mythic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 50}",55,3,500,조건을 만족한 이벤트를 55회 달성하세요. (이벤트: SESSION / 세션 50분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_LONG_FOCUS_T6,ACH_TIER_LONG_FOCUS,롱폼 집중 6,6,Master,집중,mythic,count_events,"{""event_type"": ""SESSION"", ""min_duration"": 50}",90,3,760,조건을 만족한 이벤트를 90회 달성하세요. (이벤트: SESSION / 세션 50분 이상),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_DURATION_SUM_T1,ACH_TIER_DURATION_SUM,누적 시간 1,1,Bronze,성장,common,sum_duration,"{""event_type"": ""SESSION""}",300,4,60,누적 연습 시간을 300분 달성하세요. (이벤트: SESSION),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_DURATION_SUM_T2,ACH_TIER_DURATION_SUM,누적 시간 2,2,Silver,성장,rare,sum_duration,"{""event_type"": ""SESSION""}",1200,4,100,누적 연습 시간을 1200분 달성하세요. (이벤트: SESSION),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_DURATION_SUM_T3,ACH_TIER_DURATION_SUM,누적 시간 3,3,Gold,성장,epic,sum_duration,"{""event_type"": ""SESSION""}",3600,4,200,누적 연습 시간을 3600분 달성하세요. (이벤트: SESSION),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_DURATION_SUM_T4,ACH_TIER_DURATION_SUM,누적 시간 4,4,Platinum,성장,legendary,sum_duration,"{""event_type"": ""SESSION""}",9000,4,320,누적 연습 시간을 9000분 달성하세요. (이벤트: SESSION),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_DURATION_SUM_T5,ACH_TIER_DURATION_SUM,누적 시간 5,5,Diamond,성장,mythic,sum_duration,"{""event_type"": ""SESSION""}",18000,4,500,누적 연습 시간을 18000분 달성하세요. (이벤트: SESSION),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_DURATION_SUM_T6,ACH_TIER_DURATION_SUM,누적 시간 6,6,Master,성장,mythic,sum_duration,"{""event_type"": ""SESSION""}",30000,4,760,누적 연습 시간을 30000분 달성하세요. (이벤트: SESSION),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_XP_STACK_T1,ACH_TIER_XP_STACK,XP 축적 1,1,Bronze,성장,common,sum_xp,"{""all_events"": true}",2000,5,60,"누적 XP 2,000을 달성하세요. (기본 조건)",권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_XP_STACK_T2,ACH_TIER_XP_STACK,XP 축적 2,2,Silver,성장,rare,sum_xp,"{""all_events"": true}",8000,5,100,"누적 XP 8,000을 달성하세요. (기본 조건)",권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_XP_STACK_T3,ACH_TIER_XP_STACK,XP 축적 3,3,Gold,성장,epic,sum_xp,"{""all_events"": true}",20000,5,200,"누적 XP 20,000을 달성하세요. (기본 조건)",권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_XP_STACK_T4,ACH_TIER_XP_STACK,XP 축적 4,4,Platinum,성장,legendary,sum_xp,"{""all_events"": true}",50000,5,320,"누적 XP 50,000을 달성하세요. (기본 조건)",권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_XP_STACK_T5,ACH_TIER_XP_STACK,XP 축적 5,5,Diamond,성장,mythic,sum_xp,"{""all_events"": true}",120000,5,500,"누적 XP 120,000을 달성하세요. (기본 조건)",권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_XP_STACK_T6,ACH_TIER_XP_STACK,XP 축적 6,6,Master,성장,mythic,sum_xp,"{""all_events"": true}",250000,5,760,"누적 XP 250,000을 달성하세요. (기본 조건)",권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_LEVEL_CLIMB_T1,ACH_TIER_LEVEL_CLIMB,레벨 등반 1,1,Bronze,성장,common,level_reach,{},8,6,60,플레이어 레벨 8에 도달하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_LEVEL_CLIMB_T2,ACH_TIER_LEVEL_CLIMB,레벨 등반 2,2,Silver,성장,rare,level_reach,{},15,6,100,플레이어 레벨 15에 도달하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_LEVEL_CLIMB_T3,ACH_TIER_LEVEL_CLIMB,레벨 등반 3,3,Gold,성장,epic,level_reach,{},25,6,200,플레이어 레벨 25에 도달하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_LEVEL_CLIMB_T4,ACH_TIER_LEVEL_CLIMB,레벨 등반 4,4,Platinum,성장,legendary,level_reach,{},35,6,320,플레이어 레벨 35에 도달하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_LEVEL_CLIMB_T5,ACH_TIER_LEVEL_CLIMB,레벨 등반 5,5,Diamond,성장,mythic,level_reach,{},45,6,500,플레이어 레벨 45에 도달하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_LEVEL_CLIMB_T6,ACH_TIER_LEVEL_CLIMB,레벨 등반 6,6,Master,성장,mythic,level_reach,{},50,6,760,플레이어 레벨 50에 도달하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_SONG_PRACTICE_T1,ACH_TIER_SONG_PRACTICE,곡 연습 루틴 1,1,Bronze,곡,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SONG_PRACTICE""]}",5,7,60,조건을 만족한 이벤트를 5회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SONG_PRACTICE),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_SONG_PRACTICE_T2,ACH_TIER_SONG_PRACTICE,곡 연습 루틴 2,2,Silver,곡,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SONG_PRACTICE""]}",15,7,100,조건을 만족한 이벤트를 15회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SONG_PRACTICE),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_SONG_PRACTICE_T3,ACH_TIER_SONG_PRACTICE,곡 연습 루틴 3,3,Gold,곡,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SONG_PRACTICE""]}",35,7,200,조건을 만족한 이벤트를 35회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SONG_PRACTICE),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_SONG_PRACTICE_T4,ACH_TIER_SONG_PRACTICE,곡 연습 루틴 4,4,Platinum,곡,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SONG_PRACTICE""]}",75,7,320,조건을 만족한 이벤트를 75회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SONG_PRACTICE),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_SONG_PRACTICE_T5,ACH_TIER_SONG_PRACTICE,곡 연습 루틴 5,5,Diamond,곡,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SONG_PRACTICE""]}",150,7,500,조건을 만족한 이벤트를 150회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SONG_PRACTICE),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_SONG_PRACTICE_T6,ACH_TIER_SONG_PRACTICE,곡 연습 루틴 6,6,Master,곡,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SONG_PRACTICE""]}",260,7,760,조건을 만족한 이벤트를 260회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SONG_PRACTICE),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_REPERTOIRE_DISTINCT_T1,ACH_TIER_REPERTOIRE_DISTINCT,레퍼토리 확장 1,1,Bronze,곡,common,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",3,8,60,중복 제외 고유 개수 3개를 달성하세요. (이벤트: SESSION / 고유 필드: song_library_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_REPERTOIRE_DISTINCT_T2,ACH_TIER_REPERTOIRE_DISTINCT,레퍼토리 확장 2,2,Silver,곡,rare,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",8,8,100,중복 제외 고유 개수 8개를 달성하세요. (이벤트: SESSION / 고유 필드: song_library_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_REPERTOIRE_DISTINCT_T3,ACH_TIER_REPERTOIRE_DISTINCT,레퍼토리 확장 3,3,Gold,곡,epic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",16,8,200,중복 제외 고유 개수 16개를 달성하세요. (이벤트: SESSION / 고유 필드: song_library_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_REPERTOIRE_DISTINCT_T4,ACH_TIER_REPERTOIRE_DISTINCT,레퍼토리 확장 4,4,Platinum,곡,legendary,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",28,8,320,중복 제외 고유 개수 28개를 달성하세요. (이벤트: SESSION / 고유 필드: song_library_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_REPERTOIRE_DISTINCT_T5,ACH_TIER_REPERTOIRE_DISTINCT,레퍼토리 확장 5,5,Diamond,곡,mythic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",42,8,500,중복 제외 고유 개수 42개를 달성하세요. (이벤트: SESSION / 고유 필드: song_library_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_REPERTOIRE_DISTINCT_T6,ACH_TIER_REPERTOIRE_DISTINCT,레퍼토리 확장 6,6,Master,곡,mythic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""song_library_id""}",60,8,760,중복 제외 고유 개수 60개를 달성하세요. (이벤트: SESSION / 고유 필드: song_library_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_DRILL_DISTINCT_T1,ACH_TIER_DRILL_DISTINCT,드릴 다양화 1,1,Bronze,드릴,common,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""drill_id""}",3,9,60,중복 제외 고유 개수 3개를 달성하세요. (이벤트: SESSION / 고유 필드: drill_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_DRILL_DISTINCT_T2,ACH_TIER_DRILL_DISTINCT,드릴 다양화 2,2,Silver,드릴,rare,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""drill_id""}",8,9,100,중복 제외 고유 개수 8개를 달성하세요. (이벤트: SESSION / 고유 필드: drill_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_DRILL_DISTINCT_T3,ACH_TIER_DRILL_DISTINCT,드릴 다양화 3,3,Gold,드릴,epic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""drill_id""}",16,9,200,중복 제외 고유 개수 16개를 달성하세요. (이벤트: SESSION / 고유 필드: drill_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_DRILL_DISTINCT_T4,ACH_TIER_DRILL_DISTINCT,드릴 다양화 4,4,Platinum,드릴,legendary,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""drill_id""}",28,9,320,중복 제외 고유 개수 28개를 달성하세요. (이벤트: SESSION / 고유 필드: drill_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_DRILL_DISTINCT_T5,ACH_TIER_DRILL_DISTINCT,드릴 다양화 5,5,Diamond,드릴,mythic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""drill_id""}",42,9,500,중복 제외 고유 개수 42개를 달성하세요. (이벤트: SESSION / 고유 필드: drill_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_DRILL_DISTINCT_T6,ACH_TIER_DRILL_DISTINCT,드릴 다양화 6,6,Master,드릴,mythic,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""drill_id""}",60,9,760,중복 제외 고유 개수 60개를 달성하세요. (이벤트: SESSION / 고유 필드: drill_id),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_CORE_WEEKLY_T1,ACH_TIER_CORE_WEEKLY,코어 연속 루틴 1,1,Bronze,루틴,common,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",2,10,60,연속/월간 달성 지표를 2까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_CORE_WEEKLY_T2,ACH_TIER_CORE_WEEKLY,코어 연속 루틴 2,2,Silver,루틴,rare,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",4,10,100,연속/월간 달성 지표를 4까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_CORE_WEEKLY_T3,ACH_TIER_CORE_WEEKLY,코어 연속 루틴 3,3,Gold,루틴,epic,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",6,10,200,연속/월간 달성 지표를 6까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_CORE_WEEKLY_T4,ACH_TIER_CORE_WEEKLY,코어 연속 루틴 4,4,Platinum,루틴,legendary,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",10,10,320,연속/월간 달성 지표를 10까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_CORE_WEEKLY_T5,ACH_TIER_CORE_WEEKLY,코어 연속 루틴 5,5,Diamond,루틴,mythic,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",16,10,500,연속/월간 달성 지표를 16까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_CORE_WEEKLY_T6,ACH_TIER_CORE_WEEKLY,코어 연속 루틴 6,6,Master,루틴,mythic,streak_weekly,"{""min_sessions"": 3, ""min_core_sessions"": 2, ""tag_core"": ""CORE""}",24,10,760,연속/월간 달성 지표를 24까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_MONTHLY_PACE_T1,ACH_TIER_MONTHLY_PACE,월간 페이스 1,1,Bronze,루틴,common,streak_monthly,"{""min_sessions_per_month"": 8}",2,11,60,연속/월간 달성 지표를 2까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_MONTHLY_PACE_T2,ACH_TIER_MONTHLY_PACE,월간 페이스 2,2,Silver,루틴,rare,streak_monthly,"{""min_sessions_per_month"": 8}",4,11,100,연속/월간 달성 지표를 4까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_MONTHLY_PACE_T3,ACH_TIER_MONTHLY_PACE,월간 페이스 3,3,Gold,루틴,epic,streak_monthly,"{""min_sessions_per_month"": 8}",6,11,200,연속/월간 달성 지표를 6까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_MONTHLY_PACE_T4,ACH_TIER_MONTHLY_PACE,월간 페이스 4,4,Platinum,루틴,legendary,streak_monthly,"{""min_sessions_per_month"": 8}",10,11,320,연속/월간 달성 지표를 10까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_MONTHLY_PACE_T5,ACH_TIER_MONTHLY_PACE,월간 페이스 5,5,Diamond,루틴,mythic,streak_monthly,"{""min_sessions_per_month"": 8}",14,11,500,연속/월간 달성 지표를 14까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
ACH_TIER_MONTHLY_PACE_T6,ACH_TIER_MONTHLY_PACE,월간 페이스 6,6,Master,루틴,mythic,streak_monthly,"{""min_sessions_per_month"": 8}",20,11,760,연속/월간 달성 지표를 20까지 달성하세요. (기본 조건),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_master,,
ACH_TIER_SLAP_MASTERY_T1,ACH_TIER_SLAP_MASTERY,슬랩 마스터리 1,1,Bronze,테크닉,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",3,12,60,조건을 만족한 이벤트를 3회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SLAP),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_bronze,,
ACH_TIER_SLAP_MASTERY_T2,ACH_TIER_SLAP_MASTERY,슬랩 마스터리 2,2,Silver,테크닉,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",8,12,100,조건을 만족한 이벤트를 8회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SLAP),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_silver,,
ACH_TIER_SLAP_MASTERY_T3,ACH_TIER_SLAP_MASTERY,슬랩 마스터리 3,3,Gold,테크닉,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",18,12,200,조건을 만족한 이벤트를 18회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SLAP),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_gold,,
ACH_TIER_SLAP_MASTERY_T4,ACH_TIER_SLAP_MASTERY,슬랩 마스터리 4,4,Platinum,테크닉,legendary,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",35,12,320,조건을 만족한 이벤트를 35회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SLAP),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_platinum,,
ACH_TIER_SLAP_MASTERY_T5,ACH_TIER_SLAP_MASTERY,슬랩 마스터리 5,5,Diamond,테크닉,mythic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""SLAP""]}",65,12,500,조건을 만족한 이벤트를 65회 달성하세요. (이벤트: SESSION / 태그 하나 이상: SLAP),권장 증빙: 세션 메모 + 태그/링크/미디어 중 가능한 항목 기록,false,,true,tier_diamond,,
